#term ID_x,term description,observed gene count_x,background gene count_x,strength_x,false discovery rate_x,matching proteins in your network (IDs)_x,matching proteins in your network (labels)_x,#term ID_y,observed gene count_y,background gene count_y,strength_y,false discovery rate_y,matching proteins in your network (IDs)_y,matching proteins in your network (labels)_y
map03010,Ribosome,9,240,1.14,1.3e-06,4530.OS02T0105900-01 4530.OS02T0622300-00 4530.OS03T0182600-02 4530.OS03T0796501-00 4530.OS05T0535800-00 4530.OS06T0115500-01 4530.OS07T0180900-01 4530.OS11T0135400-00 4530.OS12T0133050-00,RPS4 OsRPL14 OsJ_09668 OsJ_12950 OS05T0535800-00 OsJ_19902 OsJ_23326 OsJ_25933 OsJ_35136,sly03010,11,290,0.82,1.11e-05,4081.Solyc01g009520.2.1 4081.Solyc03g019780.2.1 4081.Solyc04g008810.2.1 4081.Solyc05g054070.2.1 4081.Solyc05g054990.2.1 4081.Solyc06g007470.2.1 4081.Solyc06g051200.2.1 4081.Solyc06g064460.2.1 4081.Solyc06g064470.2.1 4081.Solyc07g041310.2.1 4081.Solyc08g067950.2.1,101245686 101250574 101247310 101250600 101251184 101248302 101247532 101245956 101246256 101257282 101252799
map01200,Carbon metabolism,8,245,1.08,1.11e-05,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OsJ_29674 OS12T0616900-01,sly01200,18,266,1.08,1.8700000000000003e-12,4081.Solyc01g008330.2.1 4081.Solyc01g080460.2.1 4081.Solyc01g106780.2.1 4081.Solyc03g071590.2.1 4081.Solyc04g009030.2.1 4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g066610.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g005080.1.1 4081.Solyc12g014250.1.1,101267921 101267346 101259587 chMDH 101266713 101264112 LOC543812 HXK4 101257857 101257775 101254008 101248407 101258079 mMDH 101253805 101265278 Solyc12g005080.1.1 ppc1
map03008,Ribosome biogenesis in eukaryotes,5,81,1.36,6.25e-05,4530.OS03T0300300-01 4530.OS04T0592700-01 4530.OS05T0176000-01 4530.OS07T0603200-01 4530.OS08T0158900-01,OsJ_10517 OsJ_15986 OsJ_17309 OS07T0603200-01 OsJ_26117,sly03008,7,75,1.22,4.26e-06,4081.Solyc01g109990.2.1 4081.Solyc03g046350.2.1 4081.Solyc03g116380.2.1 4081.Solyc04g051670.2.1 4081.Solyc04g064570.2.1 4081.Solyc04g072260.1.1 4081.Solyc05g023800.2.1,101263645 101259128 101255780 101258943 101258649 MDN1 RAN1
map00010,Glycolysis / Gluconeogenesis,5,127,1.17,0.00037999999999999997,4530.OS03T0776000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_12779 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01,sly00010,7,132,0.97,0.0001,4081.Solyc01g106780.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g066610.2.1,101259587 Solyc03g122310.2.1 LOC543812 HXK4 101257857 101257775 101253805
map04120,Ubiquitin mediated proteolysis,4,108,1.14,0.0021,4530.OS02T0771100-01 4530.OS05T0557600-01 4530.OS07T0659800-01 4530.OS10T0438100-00,PPS OsJ_19507 OS07T0659800-01 OsJ_31649,sly04120,4,142,0.7,0.0252,4081.Solyc03g095210.1.1 4081.Solyc04g076620.2.1 4081.Solyc07g065630.2.1 4081.Solyc10g055450.1.1,101251072 Solyc04g076620.2.1 Solyc07g065630.2.1 101247472
map00330,Arginine and proline metabolism,3,48,1.37,0.0026,4530.OS02T0236000-01 4530.OS06T0548000-01 4530.OS09T0440300-01,OsJ_06017 OS06T0548000-01 OS09T0440300-01,sly00330,4,65,1.03,0.0026,4081.Solyc03g118690.2.1 4081.Solyc03g122310.2.1 4081.Solyc06g019170.2.1 4081.Solyc08g043170.2.1,101265811 Solyc03g122310.2.1 101244293 PRO2
map00020,Citrate cycle (TCA cycle),3,53,1.32,0.003,4530.OS04T0390000-02 4530.OS08T0536000-01 4530.OS12T0616900-01,OS04T0390000-02 OsJ_28086 OS12T0616900-01,sly00020,8,54,1.42,3.19e-08,4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc05g009530.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g062650.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g005080.1.1,101264112 LOC543812 101257857 101254008 101258079 mMDH 101265278 Solyc12g005080.1.1
map00970,Aminoacyl-tRNA biosynthesis,3,56,1.3,0.0031,4530.OS01T0687500-01 4530.OS09T0556500-01 4530.OS10T0400100-01,OsJ_03057 OsJ_30298 OsJ_31437,sly00970,4,51,1.14,0.0011,4081.Solyc01g080810.2.1 4081.Solyc01g109360.2.1 4081.Solyc01g111990.2.1 4081.Solyc07g063140.1.1,101249760 Solyc01g109360.2.1 101251229 GATC
map01110,Biosynthesis of secondary metabolites,9,943,0.55,0.0049,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01,sly01110,28,1192,0.62,5.660000000000001e-09,4081.Solyc01g008110.2.1 4081.Solyc01g008330.2.1 4081.Solyc01g106780.2.1 4081.Solyc01g109790.2.1 4081.Solyc03g065340.2.1 4081.Solyc03g111850.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g077440.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g019170.2.1 4081.Solyc06g048730.2.1 4081.Solyc06g051930.2.1 4081.Solyc06g071700.1.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g056140.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g064280.2.1 4081.Solyc07g066610.2.1 4081.Solyc08g043170.2.1 4081.Solyc09g075450.2.1 4081.Solyc11g007020.1.1 4081.Solyc11g011330.1.1 4081.Solyc11g072520.1.1 4081.Solyc12g005080.1.1,CYP51 101267921 101259587 AGP-S1 101252851 101250390 Solyc03g122310.2.1 101264112 LOC543812 Solyc04g077440.2.1 HXK4 101257857 101244293 101250511 101257775 101253199 101254008 101258079 LOC543968 mMDH 101254921 101253805 PRO2 101265278 MDC 101259903 Solyc11g072520.1.1 Solyc12g005080.1.1
map00620,Pyruvate metabolism,3,80,1.14,0.0062,4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS12T0616900-01,OsJ_28086 OS09T0440300-01 OS12T0616900-01,sly00620,12,91,1.37,1.6699999999999998e-11,4081.Solyc01g008330.2.1 4081.Solyc01g080460.2.1 4081.Solyc01g106780.2.1 4081.Solyc03g071590.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g076880.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g062650.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g014250.1.1,101267921 101267346 101259587 chMDH Solyc03g122310.2.1 LOC543812 101257857 101257775 101248407 mMDH 101265278 ppc1
