#term ID_x,term description,observed gene count_x,background gene count_x,strength_x,false discovery rate_x,matching proteins in your network (IDs)_x,matching proteins in your network (labels)_x,#term ID_y,observed gene count_y,background gene count_y,strength_y,false discovery rate_y,matching proteins in your network (IDs)_y,matching proteins in your network (labels)_y
sot01100,Metabolic pathways,23,1851,0.64,1.4599999999999998e-07,4113.PGSC0003DMT400002595 4113.PGSC0003DMT400004095 4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400012593 4113.PGSC0003DMT400023090 4113.PGSC0003DMT400028915 4113.PGSC0003DMT400035467 4113.PGSC0003DMT400035987 4113.PGSC0003DMT400036942 4113.PGSC0003DMT400042035 4113.PGSC0003DMT400063336 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069311 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658 4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179 4113.PGSC0003DMT400077231 4113.PGSC0003DMT400079915,PGSC0003DMT400002595 102598888 102598451 102582524 102579136 InvGF PGSC0003DMT400028915 102597065 Pain-1 102580238 102603859 102577433 107058768 102604947 102594988 102599296 102582462 PGSC0003DMT400072632 102592163 CHS1B 102580017 102582317 PGSC0003DMT400079915,map01100,10,1677,0.35,0.0322,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS05T0573300-01 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OsJ_19625 OS06T0548000-01 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01
sot03010,Ribosome,10,269,1.11,2.16e-07,4113.PGSC0003DMT400010548 4113.PGSC0003DMT400017986 4113.PGSC0003DMT400030564 4113.PGSC0003DMT400036835 4113.PGSC0003DMT400048186 4113.PGSC0003DMT400053000 4113.PGSC0003DMT400059174 4113.PGSC0003DMT400060177 4113.PGSC0003DMT400069575 4113.PGSC0003DMT400079312,102582667 102587574 102588127 102579491 102596272 102580154 PGSC0003DMT400059174 102590182 102590512 102605043,map03010,9,240,1.14,1.3e-06,4530.OS02T0105900-01 4530.OS02T0622300-00 4530.OS03T0182600-02 4530.OS03T0796501-00 4530.OS05T0535800-00 4530.OS06T0115500-01 4530.OS07T0180900-01 4530.OS11T0135400-00 4530.OS12T0133050-00,RPS4 OsRPL14 OsJ_09668 OsJ_12950 OS05T0535800-00 OsJ_19902 OsJ_23326 OsJ_25933 OsJ_35136
sot01200,Carbon metabolism,9,255,1.09,1.26e-06,4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400028915 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658,102598451 102582524 PGSC0003DMT400028915 107058768 102604947 102599296 102582462 PGSC0003DMT400072632 102592163,map01200,8,245,1.08,1.11e-05,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OsJ_29674 OS12T0616900-01
sot03008,Ribosome biogenesis in eukaryotes,6,73,1.46,1.41e-06,4113.PGSC0003DMT400007765 4113.PGSC0003DMT400017459 4113.PGSC0003DMT400032418 4113.PGSC0003DMT400062992 4113.PGSC0003DMT400066026 4113.PGSC0003DMT400093989,102580337 102578407 102585048 102603701 102603891 102603390,map03008,5,81,1.36,6.25e-05,4530.OS03T0300300-01 4530.OS04T0592700-01 4530.OS05T0176000-01 4530.OS07T0603200-01 4530.OS08T0158900-01,OsJ_10517 OsJ_15986 OsJ_17309 OS07T0603200-01 OsJ_26117
sot00010,Glycolysis / Gluconeogenesis,6,113,1.27,9.15e-06,4113.PGSC0003DMT400028915 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400077231,PGSC0003DMT400028915 102604947 102599296 102582462 PGSC0003DMT400072632 102582317,map00010,5,127,1.17,0.00037999999999999997,4530.OS03T0776000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_12779 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01
sot01110,Biosynthesis of secondary metabolites,14,1083,0.65,1.7800000000000002e-05,4113.PGSC0003DMT400002595 4113.PGSC0003DMT400004095 4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400012593 4113.PGSC0003DMT400036942 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658 4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179,PGSC0003DMT400002595 102598888 102598451 102582524 102579136 102580238 107058768 102604947 102599296 102582462 PGSC0003DMT400072632 102592163 CHS1B 102580017,map01110,9,943,0.55,0.0049,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01
sot00970,Aminoacyl-tRNA biosynthesis,3,41,1.41,0.00099,4113.PGSC0003DMT400024220 4113.PGSC0003DMT400026761 4113.PGSC0003DMT400059195,PGSC0003DMT400024220 102606382 102604688,map00970,3,56,1.3,0.0031,4530.OS01T0687500-01 4530.OS09T0556500-01 4530.OS10T0400100-01,OsJ_03057 OsJ_30298 OsJ_31437
sot00620,Pyruvate metabolism,3,83,1.1,0.0055,4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265,102604947 102599296 102582462,map00620,3,80,1.14,0.0062,4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS12T0616900-01,OsJ_28086 OS09T0440300-01 OS12T0616900-01
sot04712,Circadian rhythm - plant,2,39,1.25,0.0141,4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179,CHS1B 102580017,map04712,3,27,1.62,0.00074,4530.OS01T0182600-03 4530.OS02T0625000-01 4530.OS02T0771100-01,GI OsCRY2 PPS
sot00030,Pentose phosphate pathway,2,52,1.13,0.0211,4113.PGSC0003DMT400028915 4113.PGSC0003DMT400072632,PGSC0003DMT400028915 PGSC0003DMT400072632,map00030,3,56,1.3,0.0031,4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS09T0465600-01,OsJ_07404 OsJ_12779 OsJ_29674
