#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0046982,protein heterodimerization activity,7,33,1.9,1.71e-09,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0839500-00 4530.OS03T0279200-01 4530.OS05T0574300-00,H2B.10 H2B.7 H2B.6 H2B.5 H2B.11 OsJ_001872 H2B.9
GO:0003676,nucleic acid binding,16,828,0.86,4.12e-08,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0618400-01 4530.OS01T0839500-00 4530.OS01T0907400-01 4530.OS02T0105900-01 4530.OS02T0795900-01 4530.OS02T0831600-01 4530.OS03T0279200-01 4530.OS03T0406200-01 4530.OS03T0699200-01 4530.OS05T0574300-00 4530.OS06T0187900-02 4530.OS06T0342100-01,H2B.10 H2B.7 H2B.6 H2B.5 OsJ_02628 H2B.11 JMJ705 RPS4 OS02T0795900-01 AGO1C OsJ_001872 OS03T0406200-01 PES H2B.9 RSZ21A SRP19
GO:0097159,organic cyclic compound binding,21,1523,0.71,4.12e-08,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0618400-01 4530.OS01T0839500-00 4530.OS01T0907400-01 4530.OS02T0105900-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS02T0831600-01 4530.OS03T0279200-01 4530.OS03T0406200-01 4530.OS03T0699200-01 4530.OS05T0392300-01 4530.OS05T0574300-00 4530.OS06T0187900-02 4530.OS06T0342100-01 4530.OS08T0468100-01 4530.OS09T0556500-01,H2B.10 H2B.7 H2B.6 H2B.5 OsJ_02628 H2B.11 JMJ705 RPS4 CDKA-2 OsJ_06853 OS02T0795900-01 AGO1C OsJ_001872 OS03T0406200-01 PES CDKD-1 H2B.9 RSZ21A SRP19 NIA1 OsJ_30298
GO:1901363,heterocyclic compound binding,21,1523,0.71,4.12e-08,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0618400-01 4530.OS01T0839500-00 4530.OS01T0907400-01 4530.OS02T0105900-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS02T0831600-01 4530.OS03T0279200-01 4530.OS03T0406200-01 4530.OS03T0699200-01 4530.OS05T0392300-01 4530.OS05T0574300-00 4530.OS06T0187900-02 4530.OS06T0342100-01 4530.OS08T0468100-01 4530.OS09T0556500-01,H2B.10 H2B.7 H2B.6 H2B.5 OsJ_02628 H2B.11 JMJ705 RPS4 CDKA-2 OsJ_06853 OS02T0795900-01 AGO1C OsJ_001872 OS03T0406200-01 PES CDKD-1 H2B.9 RSZ21A SRP19 NIA1 OsJ_30298
GO:0046983,protein dimerization activity,8,124,1.38,6.90e-08,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0839500-00 4530.OS03T0279200-01 4530.OS03T0752100-01 4530.OS05T0574300-00,H2B.10 H2B.7 H2B.6 H2B.5 H2B.11 OsJ_001872 PHYC H2B.9
GO:0005488,binding,24,2265,0.6,1.18e-07,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0360200-01 4530.OS01T0618400-01 4530.OS01T0839500-00 4530.OS01T0907400-01 4530.OS02T0105900-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS02T0831600-01 4530.OS03T0279200-01 4530.OS03T0406200-01 4530.OS03T0699200-01 4530.OS03T0752100-01 4530.OS05T0392300-01 4530.OS05T0574300-00 4530.OS05T0586200-01 4530.OS06T0187900-02 4530.OS06T0342100-01 4530.OS08T0468100-01 4530.OS09T0556500-01,H2B.10 H2B.7 H2B.6 H2B.5 RBOHB OsJ_02628 H2B.11 JMJ705 RPS4 CDKA-2 OsJ_06853 OS02T0795900-01 AGO1C OsJ_001872 OS03T0406200-01 PES PHYC CDKD-1 H2B.9 JAR1 RSZ21A SRP19 NIA1 OsJ_30298
GO:0005515,protein binding,10,366,1.01,1.30e-06,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0360200-01 4530.OS01T0839500-00 4530.OS03T0279200-01 4530.OS03T0752100-01 4530.OS05T0574300-00 4530.OS05T0586200-01,H2B.10 H2B.7 H2B.6 H2B.5 RBOHB H2B.11 OsJ_001872 PHYC H2B.9 JAR1
GO:0003824,catalytic activity,17,1818,0.54,0.00011,4530.OS01T0360200-01 4530.OS01T0618400-01 4530.OS01T0907400-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS03T0752100-01 4530.OS03T0776000-01 4530.OS04T0682000-01 4530.OS05T0392300-01 4530.OS05T0500900-01 4530.OS05T0586200-01 4530.OS08T0468100-01 4530.OS08T0536000-01 4530.OS09T0359800-01 4530.OS09T0556500-01 4530.OS12T0616900-01,RBOHB OsJ_02628 JMJ705 CDKA-2 OsJ_06853 OS02T0795900-01 PHYC OsJ_12779 ATG4B CDKD-1 GH3.4 JAR1 NIA1 OsJ_28086 PRMT1 OsJ_30298 OS12T0616900-01
GO:0003723,RNA binding,6,218,1.01,0.00045,4530.OS01T0618400-01 4530.OS02T0105900-01 4530.OS02T0795900-01 4530.OS03T0406200-01 4530.OS03T0699200-01 4530.OS06T0342100-01,OsJ_02628 RPS4 OS02T0795900-01 OS03T0406200-01 PES SRP19
GO:0016874,ligase activity,4,65,1.36,0.00045,4530.OS02T0506500-04 4530.OS05T0500900-01 4530.OS05T0586200-01 4530.OS09T0556500-01,OsJ_06853 GH3.4 JAR1 OsJ_30298
