#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
map03010,Ribosome,9,240,1.14,1.30e-06,4530.OS02T0105900-01 4530.OS02T0622300-00 4530.OS03T0182600-02 4530.OS03T0796501-00 4530.OS05T0535800-00 4530.OS06T0115500-01 4530.OS07T0180900-01 4530.OS11T0135400-00 4530.OS12T0133050-00,RPS4 OsRPL14 OsJ_09668 OsJ_12950 OS05T0535800-00 OsJ_19902 OsJ_23326 OsJ_25933 OsJ_35136
map01200,Carbon metabolism,8,245,1.08,1.11e-05,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OsJ_29674 OS12T0616900-01
map03008,Ribosome biogenesis in eukaryotes,5,81,1.36,6.25e-05,4530.OS03T0300300-01 4530.OS04T0592700-01 4530.OS05T0176000-01 4530.OS07T0603200-01 4530.OS08T0158900-01,OsJ_10517 OsJ_15986 OsJ_17309 OS07T0603200-01 OsJ_26117
map00010,Glycolysis / Gluconeogenesis,5,127,1.17,0.00038,4530.OS03T0776000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_12779 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01
map04712,Circadian rhythm - plant,3,27,1.62,0.00074,4530.OS01T0182600-03 4530.OS02T0625000-01 4530.OS02T0771100-01,GI OsCRY2 PPS
map04120,Ubiquitin mediated proteolysis,4,108,1.14,0.0021,4530.OS02T0771100-01 4530.OS05T0557600-01 4530.OS07T0659800-01 4530.OS10T0438100-00,PPS OsJ_19507 OS07T0659800-01 OsJ_31649
map00330,Arginine and proline metabolism,3,48,1.37,0.0026,4530.OS02T0236000-01 4530.OS06T0548000-01 4530.OS09T0440300-01,OsJ_06017 OS06T0548000-01 OS09T0440300-01
map00020,Citrate cycle (TCA cycle),3,53,1.32,0.0030,4530.OS04T0390000-02 4530.OS08T0536000-01 4530.OS12T0616900-01,OS04T0390000-02 OsJ_28086 OS12T0616900-01
map00030,Pentose phosphate pathway,3,56,1.3,0.0031,4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS09T0465600-01,OsJ_07404 OsJ_12779 OsJ_29674
map00970,Aminoacyl-tRNA biosynthesis,3,56,1.3,0.0031,4530.OS01T0687500-01 4530.OS09T0556500-01 4530.OS10T0400100-01,OsJ_03057 OsJ_30298 OsJ_31437
map01110,Biosynthesis of secondary metabolites,9,943,0.55,0.0049,4530.OS02T0236000-01 4530.OS02T0600400-01 4530.OS03T0776000-01 4530.OS04T0390000-02 4530.OS06T0548000-01 4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS09T0465600-01 4530.OS12T0616900-01,OsJ_06017 OsJ_07404 OsJ_12779 OS04T0390000-02 OS06T0548000-01 OsJ_28086 OS09T0440300-01 OsJ_29674 OS12T0616900-01
map00620,Pyruvate metabolism,3,80,1.14,0.0062,4530.OS08T0536000-01 4530.OS09T0440300-01 4530.OS12T0616900-01,OsJ_28086 OS09T0440300-01 OS12T0616900-01
map00950,Isoquinoline alkaloid biosynthesis,2,20,1.57,0.0062,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00960,Tropane  piperidine and pyridine alkaloid biosynthesis,2,19,1.59,0.0062,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00220,Arginine biosynthesis,2,31,1.38,0.0121,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00310,Lysine degradation,2,33,1.35,0.0128,4530.OS04T0390000-02 4530.OS09T0440300-01,OS04T0390000-02 OS09T0440300-01
map00350,Tyrosine metabolism,2,38,1.29,0.0156,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00380,Tryptophan metabolism,2,38,1.29,0.0156,4530.OS04T0390000-02 4530.OS09T0440300-01,OS04T0390000-02 OS09T0440300-01
map00360,Phenylalanine metabolism,2,45,1.22,0.0191,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00400,Phenylalanine  tyrosine and tryptophan biosynthesis,2,46,1.21,0.0191,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map00250,Alanine  aspartate and glutamate metabolism,2,48,1.19,0.0195,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map01210,2-Oxocarboxylic acid metabolism,2,52,1.16,0.0216,4530.OS02T0236000-01 4530.OS06T0548000-01,OsJ_06017 OS06T0548000-01
map03040,Spliceosome,3,179,0.79,0.0291,4530.OS03T0339100-01 4530.OS06T0187900-02 4530.OS07T0508000-01,OS03T0339100-01 RSZ21A OS07T0508000-01
