#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
sot01100,Metabolic pathways,23,1851,0.64,1.46e-07,4113.PGSC0003DMT400002595 4113.PGSC0003DMT400004095 4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400012593 4113.PGSC0003DMT400023090 4113.PGSC0003DMT400028915 4113.PGSC0003DMT400035467 4113.PGSC0003DMT400035987 4113.PGSC0003DMT400036942 4113.PGSC0003DMT400042035 4113.PGSC0003DMT400063336 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069311 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658 4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179 4113.PGSC0003DMT400077231 4113.PGSC0003DMT400079915,PGSC0003DMT400002595 102598888 102598451 102582524 102579136 InvGF PGSC0003DMT400028915 102597065 Pain-1 102580238 102603859 102577433 107058768 102604947 102594988 102599296 102582462 PGSC0003DMT400072632 102592163 CHS1B 102580017 102582317 PGSC0003DMT400079915
sot03010,Ribosome,10,269,1.11,2.16e-07,4113.PGSC0003DMT400010548 4113.PGSC0003DMT400017986 4113.PGSC0003DMT400030564 4113.PGSC0003DMT400036835 4113.PGSC0003DMT400048186 4113.PGSC0003DMT400053000 4113.PGSC0003DMT400059174 4113.PGSC0003DMT400060177 4113.PGSC0003DMT400069575 4113.PGSC0003DMT400079312,102582667 102587574 102588127 102579491 102596272 102580154 PGSC0003DMT400059174 102590182 102590512 102605043
sot01200,Carbon metabolism,9,255,1.09,1.26e-06,4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400028915 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658,102598451 102582524 PGSC0003DMT400028915 107058768 102604947 102599296 102582462 PGSC0003DMT400072632 102592163
sot03008,Ribosome biogenesis in eukaryotes,6,73,1.46,1.41e-06,4113.PGSC0003DMT400007765 4113.PGSC0003DMT400017459 4113.PGSC0003DMT400032418 4113.PGSC0003DMT400062992 4113.PGSC0003DMT400066026 4113.PGSC0003DMT400093989,102580337 102578407 102585048 102603701 102603891 102603390
sot03013,RNA transport,7,140,1.24,2.38e-06,4113.PGSC0003DMT400004341 4113.PGSC0003DMT400029432 4113.PGSC0003DMT400060512 4113.PGSC0003DMT400068044 4113.PGSC0003DMT400078176 4113.PGSC0003DMT400078293 4113.PGSC0003DMT400079119,102589798 102585342 102588992 102594613 102595553 102605977 102604773
sot00052,Galactose metabolism,5,50,1.54,4.54e-06,4113.PGSC0003DMT400023090 4113.PGSC0003DMT400035987 4113.PGSC0003DMT400039505 4113.PGSC0003DMT400065096 4113.PGSC0003DMT400079915,InvGF Pain-1 102601840 102601663 PGSC0003DMT400079915
sot00010,Glycolysis / Gluconeogenesis,6,113,1.27,9.15e-06,4113.PGSC0003DMT400028915 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400077231,PGSC0003DMT400028915 102604947 102599296 102582462 PGSC0003DMT400072632 102582317
sot00260,Glycine  serine and threonine metabolism,5,70,1.4,1.61e-05,4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400072658,102598451 102582524 107058768 102599296 102592163
sot01110,Biosynthesis of secondary metabolites,14,1083,0.65,1.78e-05,4113.PGSC0003DMT400002595 4113.PGSC0003DMT400004095 4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400012593 4113.PGSC0003DMT400036942 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658 4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179,PGSC0003DMT400002595 102598888 102598451 102582524 102579136 102580238 107058768 102604947 102599296 102582462 PGSC0003DMT400072632 102592163 CHS1B 102580017
sot01230,Biosynthesis of amino acids,6,210,1.0,0.00019,4113.PGSC0003DMT400011868 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400070265 4113.PGSC0003DMT400072632 4113.PGSC0003DMT400072658,102582524 107058768 102604947 102582462 PGSC0003DMT400072632 102592163
