#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
sly01100,Metabolic pathways,47,2050,0.61,1.60E-14,4081.Solyc01g008110.2.1 4081.Solyc01g008330.2.1 4081.Solyc01g080460.2.1 4081.Solyc01g081520.2.1 4081.Solyc01g099220.2.1 4081.Solyc01g106780.2.1 4081.Solyc01g109790.2.1 4081.Solyc02g094160.1.1 4081.Solyc03g065340.2.1 4081.Solyc03g071590.2.1 4081.Solyc03g098600.2.1 4081.Solyc03g111850.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g007550.2.1 4081.Solyc04g009030.2.1 4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g077440.2.1 4081.Solyc04g081400.2.1 4081.Solyc04g082390.2.1 4081.Solyc05g008460.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g019170.2.1 4081.Solyc06g048730.2.1 4081.Solyc06g051930.2.1 4081.Solyc06g071700.1.1 4081.Solyc07g052350.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g056140.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g063140.1.1 4081.Solyc07g064280.2.1 4081.Solyc07g066610.2.1 4081.Solyc08g043170.2.1 4081.Solyc09g075450.2.1 4081.Solyc09g090700.1.1 4081.Solyc09g098590.2.1 4081.Solyc11g007020.1.1 4081.Solyc11g011330.1.1 4081.Solyc11g030600.2.1 4081.Solyc11g072520.1.1 4081.Solyc12g005080.1.1 4081.Solyc12g005630.1.1 4081.Solyc12g014250.1.1 4081.Solyc12g019180.1.1 4081.Solyc12g096730.1.1,CYP51 101267921 101267346 101263844 Solyc01g099220.2.1 101259587 AGP-S1 101268630 101252851 chMDH 101259924 101250390 Solyc03g122310.2.1 101249170 101266713 101264112 LOC543812 Solyc04g077440.2.1 HXK4 101257856 101261919 101257857 101244293 101250511 101257775 101253199 101254008 101248407 101258079 LOC543968 mMDH GATC 101254921 101253805 PRO2 101265278 SSADH SUS4 MDC 101259903 MET Solyc11g072520.1.1 Solyc12g005080.1.1 101243864 ppc1 101260021 TPG6
sly01200,Carbon metabolism,18,266,1.08,1.87E-12,4081.Solyc01g008330.2.1 4081.Solyc01g080460.2.1 4081.Solyc01g106780.2.1 4081.Solyc03g071590.2.1 4081.Solyc04g009030.2.1 4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g066610.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g005080.1.1 4081.Solyc12g014250.1.1,101267921 101267346 101259587 chMDH 101266713 101264112 LOC543812 HXK4 101257857 101257775 101254008 101248407 101258079 mMDH 101253805 101265278 Solyc12g005080.1.1 ppc1
sly00620,Pyruvate metabolism,12,91,1.37,1.67E-11,4081.Solyc01g008330.2.1 4081.Solyc01g080460.2.1 4081.Solyc01g106780.2.1 4081.Solyc03g071590.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g076880.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g062650.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g014250.1.1,101267921 101267346 101259587 chMDH Solyc03g122310.2.1 LOC543812 101257857 101257775 101248407 mMDH 101265278 ppc1
sly01110,Biosynthesis of secondary metabolites,28,1192,0.62,5.66E-09,4081.Solyc01g008110.2.1 4081.Solyc01g008330.2.1 4081.Solyc01g106780.2.1 4081.Solyc01g109790.2.1 4081.Solyc03g065340.2.1 4081.Solyc03g111850.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g077440.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g019170.2.1 4081.Solyc06g048730.2.1 4081.Solyc06g051930.2.1 4081.Solyc06g071700.1.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g056140.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g064280.2.1 4081.Solyc07g066610.2.1 4081.Solyc08g043170.2.1 4081.Solyc09g075450.2.1 4081.Solyc11g007020.1.1 4081.Solyc11g011330.1.1 4081.Solyc11g072520.1.1 4081.Solyc12g005080.1.1,CYP51 101267921 101259587 AGP-S1 101252851 101250390 Solyc03g122310.2.1 101264112 LOC543812 Solyc04g077440.2.1 HXK4 101257857 101244293 101250511 101257775 101253199 101254008 101258079 LOC543968 mMDH 101254921 101253805 PRO2 101265278 MDC 101259903 Solyc11g072520.1.1 Solyc12g005080.1.1
sly00020,Citrate cycle (TCA cycle),8,54,1.42,3.19E-08,4081.Solyc04g011350.2.1 4081.Solyc04g076880.2.1 4081.Solyc05g009530.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g062650.2.1 4081.Solyc09g075450.2.1 4081.Solyc12g005080.1.1,101264112 LOC543812 101257857 101254008 101258079 mMDH 101265278 Solyc12g005080.1.1
sly00710,Carbon fixation in photosynthetic organisms,8,76,1.27,3.08E-07,4081.Solyc01g080460.2.1 4081.Solyc03g071590.2.1 4081.Solyc04g009030.2.1 4081.Solyc04g076880.2.1 4081.Solyc07g055060.2.1 4081.Solyc07g062650.2.1 4081.Solyc07g066610.2.1 4081.Solyc12g014250.1.1,101267346 chMDH 101266713 LOC543812 101248407 mMDH 101253805 ppc1
sly03008,Ribosome biogenesis in eukaryotes,7,75,1.22,4.26E-06,4081.Solyc01g109990.2.1 4081.Solyc03g046350.2.1 4081.Solyc03g116380.2.1 4081.Solyc04g051670.2.1 4081.Solyc04g064570.2.1 4081.Solyc04g072260.1.1 4081.Solyc05g023800.2.1,101263645 101259128 101255780 101258943 101258649 MDN1 RAN1
sly01230,Biosynthesis of amino acids,10,232,0.88,1.11E-05,4081.Solyc01g106780.2.1 4081.Solyc03g111850.2.1 4081.Solyc06g019170.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g064280.2.1 4081.Solyc07g066610.2.1 4081.Solyc08g043170.2.1 4081.Solyc11g072520.1.1,101259587 101250390 101244293 101257775 101254008 101258079 101254921 101253805 PRO2 Solyc11g072520.1.1
sly03010,Ribosome,11,290,0.82,1.11E-05,4081.Solyc01g009520.2.1 4081.Solyc03g019780.2.1 4081.Solyc04g008810.2.1 4081.Solyc05g054070.2.1 4081.Solyc05g054990.2.1 4081.Solyc06g007470.2.1 4081.Solyc06g051200.2.1 4081.Solyc06g064460.2.1 4081.Solyc06g064470.2.1 4081.Solyc07g041310.2.1 4081.Solyc08g067950.2.1,101245686 101250574 101247310 101250600 101251184 101248302 101247532 101245956 101246256 101257282 101252799
sly00010,Glycolysis / Gluconeogenesis,7,132,0.97,0.0001,4081.Solyc01g106780.2.1 4081.Solyc03g122310.2.1 4081.Solyc04g076880.2.1 4081.Solyc04g081400.2.1 4081.Solyc05g009530.2.1 4081.Solyc06g051930.2.1 4081.Solyc07g066610.2.1,101259587 Solyc03g122310.2.1 LOC543812 HXK4 101257857 101257775 101253805
sly03013,RNA transport,7,159,0.89,0.00029,4081.Solyc01g095410.2.1 4081.Solyc01g098170.2.1 4081.Solyc05g023800.2.1 4081.Solyc08g007110.2.1 4081.Solyc08g062800.2.1 4081.Solyc09g010460.2.1 4081.Solyc10g047000.1.1,101248917 101250741 RAN1 101258879 101252510 Solyc09g010460.2.1 101247869
sly03015,mRNA surveillance pathway,6,124,0.93,0.00057,4081.Solyc01g099860.2.1 4081.Solyc02g021760.2.1 4081.Solyc08g007110.2.1 4081.Solyc08g067040.2.1 4081.Solyc12g035360.1.1 4081.Solyc12g099280.1.1,101258308 101263950 101258879 Solyc08g067040.2.1 Solyc12g035360.1.1 101259137
sly03040,Spliceosome,7,182,0.83,0.00057,4081.Solyc01g068480.2.1 4081.Solyc01g103450.2.1 4081.Solyc01g110990.2.1 4081.Solyc04g008890.2.1 4081.Solyc04g014210.2.1 4081.Solyc07g008880.2.1 4081.Solyc08g069080.2.1,101244224 101265681 Solyc01g110990.2.1 101244858 101247309 101261833 101247946
sly00500,Starch and sucrose metabolism,6,132,0.9,0.00068,4081.Solyc01g081520.2.1 4081.Solyc01g109790.2.1 4081.Solyc03g065340.2.1 4081.Solyc04g081400.2.1 4081.Solyc07g056140.2.1 4081.Solyc09g098590.2.1,101263844 AGP-S1 101252851 HXK4 LOC543968 SUS4
sly00970,Aminoacyl-tRNA biosynthesis,4,51,1.14,0.0011,4081.Solyc01g080810.2.1 4081.Solyc01g109360.2.1 4081.Solyc01g111990.2.1 4081.Solyc07g063140.1.1,101249760 Solyc01g109360.2.1 101251229 GATC
sly03050,Proteasome,4,49,1.16,0.0011,4081.Solyc05g018570.2.1 4081.Solyc05g018590.2.1 4081.Solyc07g066030.2.1 4081.Solyc10g008010.2.1,101245359 101245649 101266536 101245889
sly00330,Arginine and proline metabolism,4,65,1.03,0.0026,4081.Solyc03g118690.2.1 4081.Solyc03g122310.2.1 4081.Solyc06g019170.2.1 4081.Solyc08g043170.2.1,101265811 Solyc03g122310.2.1 101244293 PRO2
sly00630,Glyoxylate and dicarboxylate metabolism,4,74,0.98,0.0038,4081.Solyc06g060770.2.1 4081.Solyc07g052350.2.1 4081.Solyc07g055840.2.1 4081.Solyc07g062650.2.1,101251299 101254008 101258079 mMDH
sly00310,Lysine degradation,3,39,1.13,0.0062,4081.Solyc03g122310.2.1 4081.Solyc04g011350.2.1 4081.Solyc12g005080.1.1,Solyc03g122310.2.1 101264112 Solyc12g005080.1.1
sly03030,DNA replication,3,46,1.06,0.0092,4081.Solyc01g079500.2.1 4081.Solyc01g110130.2.1 4081.Solyc06g060150.2.1,101243636 101264867 101264020
